gene,stage,annotation
CG1129,1,"('maternal',)"
CG1129,3,"('ubiquitous', 'faint ubiquitous')"
CG1129,4,"('amnioserosa', 'ubiquitous', 'faint ubiquitous')"
CG1129,5,"('foregut primordium', 'amnioserosa', 'anterior midgut primordium', 'posterior midgut primordium', 'hindgut proper primordium', 'ubiquitous')"
CG1129,6,"('embryonic proventriculus', 'embryonic proventriculus intermediate layer', 'embryonic proventriculus outer layer', 'embryonic midgut', 'ubiquitous', 'faint ubiquitous')"
CG1130,4,"('ventral nerve cord primordium P3', 'central brain primordium P3')"
CG1130,5,"('lateral cord neuron', 'embryonic central brain neuron', 'brain primordium', 'ventral nerve cord primordium', 'ventral sensory complex specific anlage', 'dorsal/lateral sensory complexes primordium')"
CG1130,6,"('sensory system head', 'ventral nerve cord', 'sensory nervous system primordium', 'embryonic central nervous system', 'embryonic brain', 'ventral sensory complex primordium', 'dorsal/lateral sensory complexes')"
CG11301,1,"('maternal',)"
CG11301,2,"('endoderm anlage in statu nascendi', 'mesoderm anlage in statu nascendi', 'faint ubiquitous')"
CG11301,3,"('trunk mesoderm primordium P2', 'anterior endoderm anlage', 'head mesoderm primordium P4', 'faint ubiquitous')"
CG11301,4,"('head mesoderm primordium P2', 'trunk mesoderm primordium', 'faint ubiquitous')"
CG11301,5,"('brain primordium', 'ventral nerve cord primordium', 'trunk mesoderm primordium')"
CG11301,6,"('embryonic brain', 'ventral nerve cord', 'embryonic midgut')"
CG11303,5,"('procrystal cell', 'yolk nuclei')"
CG11303,6,"('amnioserosa', 'crystal cell', 'yolk nuclei')"
CG11306,1,"('maternal',)"
CG11306,3,"('ubiquitous',)"
CG11306,4,"('ubiquitous',)"
CG11306,5,"('ubiquitous',)"
CG11306,6,"('embryonic proventriculus', 'embryonic salivary gland', 'embryonic midgut', 'ubiquitous', 'embryonic salivary gland body')"
CG11312,2,"('cellular blastoderm', 'procephalic ectoderm anlage in statu nascendi', 'central brain anlage in statu nascendi', 'head mesoderm anlage')"
CG11312,3,"('procephalic ectoderm anlage', 'central brain anlage', 'head mesoderm primordium P4')"
CG11312,4,"('procephalic ectoderm primordium', 'ventral nerve cord primordium P3', 'central brain primordium P3', 'head mesoderm primordium P2')"
CG11312,5,"('germ cell', 'procephalic neuroblasts', 'brain primordium', 'ventral nerve cord primordium', 'procephalon primordium', 'dorsal/lateral sensory complexes primordium', 'posterior midgut primordium', 'anterior midgut primordium', 'ventral sensory complex specific anlage', 'anterior adult midgut precursors primordium', 'posterior adult midgut precursors primordium')"
CG11312,6,"('embryonic brain', 'embryonic central brain neuron', 'ventral nerve cord', 'apoptotic amnioserosa', 'embryonic small intestine', 'neuroblasts of central brain', 'dorsal/lateral sensory complexes', 'ventral sensory complex primordium', 'neuroblasts of ventral nervous system', 'adult midgut precursor', 'amnioserosa')"
CG11315,5,"('fat body/gonad primordium', 'fat body specific anlage', 'head mesoderm primordium')"
CG11315,6,"('embryonic/larval fat body',)"
CG11317,6,"('ventral nerve cord', 'lateral cord neuron', 'embryonic brain')"
CG1132,1,"('faint ubiquitous',)"
CG1132,2,"('trunk mesoderm anlage in statu nascendi', 'trunk mesoderm anlage', 'posterior')"
CG1132,3,"('trunk mesoderm primordium P2', 'posterior')"
CG1132,4,"('trunk mesoderm primordium', 'posterior')"
CG1132,5,"('visceral muscle primordium',)"
CG1132,6,"('embryonic/larval visceral muscle',)"
CG11321,5,"('somatic muscle primordium',)"
CG11321,6,"('dorsal prothoracic pharyngeal muscle', 'embryonic/larval somatic muscle')"
CG11324,1,"('maternal',)"
CG11324,2,"('cellular blastoderm', 'ubiquitous')"
CG11324,4,"('procephalic ectoderm primordium', 'ventral nerve cord primordium P3', 'ubiquitous')"
CG11324,5,"('embryonic central brain neuron', 'embryonic central brain glia', 'lateral cord neuron', 'lateral cord glia', 'ubiquitous', 'brain primordium', 'ventral nerve cord primordium', 'anterior midgut primordium', 'posterior midgut primordium')"
CG11324,6,"('embryonic central nervous system', 'ventral nerve cord', 'ubiquitous', 'embryonic brain', 'embryonic midgut')"
CG11325,6,"('embryonic/larval fat body',)"
CG11326,1,"('flag_for_volker',)"
CG11326,2,"('faint ubiquitous', 'procephalic ectoderm anlage in statu nascendi', 'dorsal ectoderm anlage in statu nascendi', 'anlage in statu nascendi', 'endoderm anlage in statu nascendi', 'posterior endoderm anlage in statu nascendi')"
CG11326,3,"('posterior endoderm primordium P2', 'pole cell', 'trunk mesoderm primordium P2')"
CG11326,4,"('posterior endoderm primordium', 'procephalic ectoderm primordium', 'trunk mesoderm primordium', 'dorsal ectoderm primordium')"
CG11326,5,"('dorsal epidermis primordium', 'ventral apodeme specific anlage', 'dorsal apodeme specific anlage', 'posterior midgut primordium', 'longitudinal visceral mesoderm primordium', 'brain primordium')"
CG11326,6,"('embryonic central brain', 'embryonic proventriculus', 'embryonic proventriculus inner layer', 'embryonic ventral apodeme', 'embryonic dorsal apodeme', 'gonad', 'longitudinal visceral muscle fibers', 'embryonic head epidermis', 'embryonic epipharynx', 'embryonic dorsal epidermis')"
CG11328,1,"('flag_for_volker', 'maternal')"
CG11328,6,"('embryonic esophagus', 'embryonic midgut')"
CG1133,1,"('maternal', 'maternal')"
CG1133,2,"('gap', 'ventral ectoderm anlage in statu nascendi', 'dorsal ectoderm anlage in statu nascendi', 'mesoderm anlage in statu nascendi', 'subset', 'ubiquitous', 'gap')"
CG1133,3,"('faint ubiquitous', 'gap', 'trunk mesoderm primordium P2', 'ventral ectoderm primordium P2', 'dorsal ectoderm primordium')"
CG1133,4,"('ventral ectoderm primordium', 'faint ubiquitous')"
CG1133,5,"('faint ubiquitous', 'visceral muscle primordium')"
CG1133,6,"('embryonic midgut', 'embryonic/larval visceral muscle', 'faint ubiquitous', 'embryonic midgut')"
CG11331,1,"('maternal',)"
CG11331,2,"('cellular blastoderm', 'ubiquitous', 'yolk')"
CG11331,5,"('amnioserosa', 'yolk nuclei')"
CG11331,6,"('embryonic hypopharynx', 'embryonic esophagus', 'embryonic large intestine', 'embryonic/larval dorsal vessel', 'embryonic proventriculus', 'apoptotic amnioserosa', 'yolk nuclei')"
CG11334,1,"('maternal',)"
CG11334,2,"('cellular blastoderm', 'maternal')"
CG11334,6,"('embryonic midgut', 'embryonic gastric caecum')"
CG11337,1,"('maternal',)"
CG11337,4,"('trunk mesoderm primordium', 'faint ubiquitous')"
CG11337,5,"('anterior midgut primordium', 'posterior midgut primordium', 'fat body/gonad primordium', 'fat body specific anlage', 'trunk mesoderm primordium')"
CG11337,6,"('embryonic midgut', 'embryonic/larval muscle system', 'embryonic/larval fat body', 'embryonic hindgut')"
CG1134,1,"('maternal',)"
CG1134,2,"('subset', 'anlage in statu nascendi', 'faint ubiquitous', 'hindgut anlage in statu nascendi')"
CG11347,1,"('maternal',)"
CG11347,2,"('yolk nuclei', 'subset', 'dorsal ectoderm anlage in statu nascendi', 'amnioserosa anlage in statu nascendi')"
CG11347,3,"('procephalic ectoderm anlage', 'dorsal ectoderm primordium', 'amnioserosa anlage')"
CG11347,4,"('ventral nerve cord primordium P3', 'dorsal ectoderm primordium', 'amnioserosa', 'procephalic ectoderm primordium', 'ventral ectoderm primordium', 'trunk mesoderm primordium', 'amnioserosa primordium')"
CG11347,5,"('embryonic central brain glia', 'lateral cord glia', 'ventral midline glia', 'visceral muscle primordium', 'ventral epidermis primordium', 'brain primordium', 'dorsal epidermis primordium', 'faint ubiquitous', 'ventral nerve cord primordium', 'trunk mesoderm primordium', 'amnioserosa')"
CG11347,6,"('embryonic central nervous system', 'embryonic head epidermis', 'sensory system head', 'embryonic ventral epidermis', 'ventral sensory complex primordium', 'ventral nerve cord', 'lateral cord glia', 'ventral midline', 'ventral midline glia', 'embryonic dorsal epidermis', 'amnioserosa', 'embryonic/larval muscle system', 'lateral cord neuron', 'embryonic central brain neuron', 'embryonic brain', 'faint ubiquitous', 'dorsal/lateral sensory complexes', 'embryonic/larval visceral muscle')"
CG11353,6,"('embryonic proventriculus', 'embryonic proventriculus inner layer', 'embryonic ventral epidermis', 'embryonic dorsal epidermis', 'embryonic head epidermis', 'embryonic foregut', 'embryonic hindgut')"
CG11354,2,"('subset', 'hypopharynx anlage in statu nascendi')"
CG11354,3,"('hypopharynx anlage',)"
CG11354,4,"('hypopharynx primordium P2',)"
CG11354,5,"('hypopharynx primordium P1',)"
CG11354,6,"('embryonic hypopharynx', 'ventral nerve cord', 'embryonic brain')"
CG1136,6,"('embryonic head epidermis', 'embryonic ventral epidermis', 'embryonic dorsal epidermis', 'embryonic hindgut', 'sensory system head', 'head epidermis dorsal')"
CG11367,1,"('maternal',)"
CG11367,6,"('embryonic midgut chamber', 'embryonic midgut interstitial cell')"
CG1137,6,"('embryonic brain', 'ventral nerve cord')"
CG11370,5,"('midline primordium', 'dorsal trunk specific anlage')"
CG11370,6,"('ventral midline', 'embryonic/larval tracheal system', 'embryonic/larval dorsal trunk', 'embryonic/larval posterior spiracle')"
CG11372,1,"('maternal',)"
CG11372,2,"('pole cell',)"
CG11372,3,"('pole cell',)"
CG11372,6,"('ventral nerve cord', 'embryonic midgut', 'embryonic gastric caecum', 'embryonic midgut chamber', 'embryonic hindgut', 'embryonic brain', 'embryonic/larval muscle system', 'embryonic/larval somatic muscle', 'yolk nuclei')"
CG11375,1,"('maternal', 'maternal')"
CG11375,2,"('maternal', 'ubiquitous')"
CG11378,5,"('anterior midgut primordium', 'posterior midgut primordium')"
CG11378,6,"('embryonic midgut',)"
CG11380,4,"('inclusive hindgut primordium', 'germ cell')"
CG11380,5,"('germ cell',)"
CG11380,6,"('embryonic ventral epidermis', 'embryonic dorsal epidermis', 'gonad', 'germ cell', 'embryonic/larval posterior spiracle')"
CG11382,4,"('clypeolabrum primordium P2', 'ventral epidermis primordium P2')"
CG11382,5,"('clypeo-labral primordium', 'labral sensory complex primordium', 'ventral epidermis primordium')"
CG11382,6,"('labral sensory complex', 'embryonic ventral apodeme')"
CG11387,3,"('hindgut anlage',)"
CG11387,4,"('inclusive hindgut primordium', 'main segment of Malpighian tubule specific anlage', 'mesectoderm primordium', 'Malpighian tubule anlage')"
CG11387,5,"('posterior spiracle specific anlage', 'hindgut proper primordium', 'Malpighian tubule primordium', 'Malpighian tubule main body primordium', 'midline primordium')"
CG11387,6,"('embryonic central nervous system', 'sensory system head', 'ventral nerve cord', 'embryonic/larval posterior spiracle', 'embryonic Malpighian tubule', 'embryonic/larval tracheal system', 'sensory nervous system primordium', 'faint ubiquitous', 'embryonic brain', 'embryonic antennal sense organ', 'dorsal/lateral sensory complexes', 'ventral sensory complex primordium', 'ventral midline', 'embryonic/larval anterior spiracle')"
CG11390,6,"('embryonic ventral epidermis', 'embryonic dorsal epidermis', 'embryonic head epidermis', 'embryonic epipharynx', 'embryonic hypopharynx', 'atrium', 'embryonic hindgut')"
CG11395,5,"('yolk nuclei',)"
CG11395,6,"('embryonic/larval fat body', 'yolk nuclei')"
CG11398,1,"('maternal',)"
CG11398,2,"('maternal', 'faint ubiquitous')"
CG1140,1,"('maternal',)"
CG1140,2,"('cellular blastoderm', 'ubiquitous')"
CG1140,3,"('posterior endoderm primordium P2', 'hindgut anlage', 'trunk mesoderm primordium P2', 'anterior endoderm anlage', 'head mesoderm primordium P4', 'ubiquitous')"
CG1140,4,"('inclusive hindgut primordium', 'ubiquitous')"
CG1140,5,"('anterior midgut primordium', 'posterior midgut primordium', 'Malpighian tubule primordium', 'hindgut proper primordium', 'trunk mesoderm primordium')"
CG1140,6,"('embryonic Malpighian tubule', 'embryonic midgut', 'embryonic/larval fat body')"
CG11405,1,"('maternal',)"
CG11405,2,"('faint ubiquitous',)"
CG11405,5,"('ventral nerve cord primordium',)"
CG11405,6,"('embryonic maxillary sensory complex', 'embryonic labial sensory complex', 'ventral nerve cord', 'dorsal/lateral sensory complexes')"
CG11407,5,"('yolk nuclei',)"
CG11407,6,"('yolk nuclei',)"
CG11409,3,"('procephalic ectoderm anlage', 'dorsal ectoderm primordium')"
CG11409,4,"('mesectoderm primordium',)"
CG11409,5,"('maxillary sensory complex primordium', 'posterior spiracle specific anlage', 'midline primordium')"
CG11409,6,"('embryonic maxillary sensory complex', 'embryonic/larval posterior spiracle')"
CG11415,3,"('head mesoderm primordium P4',)"
CG11415,4,"('amnioserosa', 'head mesoderm primordium P2', 'yolk nuclei')"
CG11415,5,"('plasmatocytes anlage', 'procrystal cell', 'yolk nuclei', 'head mesoderm primordium')"
CG11415,6,"('embryonic midgut', 'plasmatocytes', 'crystal cell', 'embryonic/larval fat body', 'embryonic brain', 'ventral nerve cord', 'ventral midline glia', 'embryonic/larval garland cell')"
CG11417,1,"('maternal',)"
CG11417,2,"('cellular blastoderm', 'ubiquitous')"
CG11417,3,"('posterior endoderm primordium P2', 'trunk mesoderm primordium P2', 'anterior endoderm anlage')"
CG11417,4,"('anterior endoderm primordium', 'posterior endoderm primordium', 'head mesoderm primordium P2', 'trunk mesoderm primordium')"
CG11417,5,"('foregut primordium', 'hindgut proper primordium', 'somatic muscle primordium', 'fat body specific anlage', 'proventriculus primordium', 'posterior midgut primordium', 'anterior midgut primordium')"
CG11417,6,"('ventral sensory complex primordium', 'embryonic hindgut', 'embryonic/larval muscle system', 'embryonic/larval visceral muscle', 'embryonic/larval somatic muscle', 'embryonic midgut')"
CG11418,1,"('maternal', 'ubiquitous')"
CG11418,2,"('maternal', 'ubiquitous', 'rapidly degraded')"
CG11418,4,"('anterior endoderm primordium', 'posterior endoderm primordium')"
CG11418,5,"('anterior midgut primordium', 'posterior midgut primordium')"
CG11418,6,"('embryonic midgut',)"
CG11426,5,"('posterior spiracle specific anlage',)"
CG11426,6,"('embryonic central nervous system', 'embryonic optic lobe', 'sensory system head', 'labral sensory complex', 'ventral nerve cord', 'lateral cord glia', 'ventral midline', 'embryonic central brain glia', 'embryonic central brain surface glia', 'dorsal/lateral sensory complexes', 'ventral sensory complex primordium', 'lateral cord surface glia', 'ventral midline glia')"
CG11437,6,"('embryonic ventral epidermis', 'embryonic dorsal epidermis', 'ring gland')"
CG11438,6,"('embryonic foregut', 'embryonic ventral epidermis', 'embryonic dorsal epidermis', 'embryonic head epidermis')"
CG11440,5,"('interstitial cells primordium',)"
CG11440,6,"('embryonic proventriculus', 'embryonic midgut interstitial cell', 'embryonic hindgut', 'embryonic large intestine')"
CG11444,1,"('maternal', 'flag_for_volker')"
CG11444,2,"('cellular blastoderm', 'ubiquitous')"
CG11444,3,"('procephalic ectoderm anlage', 'trunk mesoderm primordium P2', 'anterior endoderm anlage', 'posterior endoderm primordium P2', 'ubiquitous', 'head mesoderm primordium P4')"
CG11444,4,"('head mesoderm primordium P2', 'trunk mesoderm primordium', 'posterior endoderm primordium', 'anterior endoderm primordium', 'ubiquitous')"
CG11444,5,"('longitudinal visceral mesoderm primordium', 'posterior midgut primordium', 'anterior midgut primordium', 'somatic muscle primordium', 'faint ubiquitous', 'trunk mesoderm primordium', 'dorsal pharyngeal muscle primordium', 'visceral muscle primordium')"
CG11444,6,"('embryonic central nervous system', 'embryonic large intestine', 'ubiquitous', 'embryonic midgut', 'embryonic/larval somatic muscle', 'faint ubiquitous', 'embryonic brain', 'embryonic anal pad', 'ventral nerve cord', 'embryonic hindgut', 'embryonic/larval muscle system', 'dorsal prothoracic pharyngeal muscle')"
CG11448,1,"('maternal',)"
CG11448,3,"('faint ubiquitous',)"
CG11448,5,"('faint ubiquitous',)"
CG11448,6,"('embryonic central nervous system', 'embryonic brain', 'ventral nerve cord')"
CG11450,2,"('dorsal ectoderm anlage in statu nascendi', 'trunk mesoderm anlage in statu nascendi', 'dorsal ectoderm anlage', 'trunk mesoderm anlage', 'amnioserosa anlage in statu nascendi', 'cellular blastoderm', 'head epidermis dorsal anlage in statu nascendi', 'head mesoderm anlage')"
CG11450,3,"('trunk mesoderm primordium P2', 'amnioserosa anlage', 'dorsal ectoderm primordium', 'head mesoderm primordium P4')"
CG11450,4,"('trunk mesoderm primordium', 'amnioserosa primordium', 'head mesoderm primordium P2')"
CG11450,5,"('fat body/gonad primordium', 'muscle system primordium', 'visceral muscle primordium', 'trunk mesoderm primordium', 'head mesoderm primordium')"
CG11450,6,"('embryonic salivary gland body',)"
CG11451,1,"('maternal',)"
CG11451,2,"('cellular blastoderm', 'ubiquitous')"
CG11451,4,"('procephalic ectoderm primordium', 'ventral ectoderm primordium', 'ventral nerve cord primordium P3')"
CG11451,5,"('procephalic neuroblasts', 'brain primordium', 'procephalic glioblasts', 'ventral nerve cord primordium', 'procephalon primordium')"
CG11451,6,"('embryonic brain', 'ventral nerve cord')"
CG11453,6,"('embryonic midgut', 'embryonic hindgut', 'embryonic epipharynx')"
CG11455,1,"('maternal',)"
CG11455,2,"('anlage in statu nascendi', 'ventral ectoderm anlage in statu nascendi', 'dorsal ectoderm anlage in statu nascendi', 'endoderm anlage in statu nascendi', 'posterior endoderm anlage in statu nascendi', 'hindgut anlage in statu nascendi', 'mesoderm anlage in statu nascendi', 'ubiquitous')"
CG11455,3,"('trunk mesoderm primordium P2', 'anterior endoderm anlage', 'posterior endoderm primordium P2', 'head mesoderm primordium P4', 'ubiquitous')"
CG11455,4,"('anterior endoderm primordium', 'posterior endoderm primordium', 'head mesoderm primordium P2', 'trunk mesoderm primordium', 'ubiquitous')"
CG11455,5,"('anterior midgut primordium', 'posterior midgut primordium', 'dorsal pharyngeal muscle primordium', 'ubiquitous', 'trunk mesoderm primordium')"
CG11455,6,"('embryonic midgut', 'embryonic hindgut', 'embryonic Malpighian tubule', 'embryonic/larval muscle system', 'dorsal prothoracic pharyngeal muscle', 'embryonic/larval somatic muscle', 'embryonic/larval visceral muscle', 'ubiquitous')"
CG11456,1,"('maternal',)"
CG11456,2,"('maternal', 'pole cell', 'ubiquitous')"
CG11456,3,"('pole cell',)"
CG11456,4,"('germ cell',)"
CG11456,5,"('brain primordium', 'germ cell', 'ventral nerve cord primordium')"
CG11456,6,"('ventral nerve cord', 'embryonic brain', 'gonad', 'germ cell')"
CG1146,1,"('maternal',)"
CG1146,2,"('subset', 'yolk nuclei', 'posterior endoderm anlage in statu nascendi', 'ubiquitous')"
CG1146,4,"('anterior endoderm primordium', 'posterior endoderm primordium')"
CG1146,5,"('gnathal primordium', 'embryonic leading edge cell specific anlage', 'anterior midgut primordium', 'posterior midgut primordium', 'atrium primordium')"
CG1146,6,"('embryonic leading edge cell', 'embryonic Malpighian tubule', 'ring gland')"
CG11466,6,"('embryonic midgut', 'yolk nuclei')"
CG1147,6,"('embryonic central nervous system', 'embryonic central brain glia', 'embryonic central brain', 'lateral cord', 'ventral midline', 'embryonic brain')"
CG11471,1,"('maternal',)"
CG11471,2,"('cellular blastoderm', 'maternal', 'ubiquitous')"
CG11471,3,"('ubiquitous', 'trunk mesoderm primordium P2', 'head mesoderm primordium P4')"
CG11471,4,"('ubiquitous', 'anterior endoderm primordium', 'posterior endoderm primordium', 'head mesoderm primordium P2', 'trunk mesoderm primordium')"
CG11471,5,"('anterior midgut primordium', 'anal pad specific anlage', 'posterior midgut primordium', 'somatic muscle primordium', 'visceral muscle primordium', 'hindgut proper primordium', 'trunk mesoderm primordium', 'head mesoderm primordium', 'ubiquitous')"
CG11471,6,"('embryonic salivary gland', 'embryonic anal pad', 'embryonic midgut', 'embryonic hindgut', 'embryonic large intestine', 'embryonic/larval muscle system', 'embryonic salivary gland body', 'embryonic proventriculus outer layer', 'ubiquitous')"
CG11474,1,"('maternal',)"
CG11474,6,"('embryonic/larval muscle system', 'dorsal prothoracic pharyngeal muscle', 'embryonic/larval somatic muscle')"
CG1148,6,"('embryonic head epidermis', 'adult eye primordium', 'head epidermis dorsal', 'embryonic proventriculus inner layer', 'embryonic ventral epidermis', 'embryonic dorsal epidermis', 'embryonic hindgut', 'embryonic foregut', 'embryonic epipharynx', 'embryonic hypopharynx', 'atrium')"
CG11486,1,"('maternal',)"
CG11486,2,"('strong ubiquitous',)"
CG11486,3,"('strong ubiquitous',)"
CG11486,4,"('strong ubiquitous',)"
CG11486,5,"('strong ubiquitous',)"
CG11486,6,"('strong ubiquitous',)"
CG11488,1,"('maternal',)"
CG11488,2,"('ubiquitous', 'rapidly degraded')"
CG11488,6,"('embryonic midgut',)"
CG11491,6,"('embryonic midgut', 'embryonic midgut interstitial cell', 'embryonic brain', 'ventral nerve cord', 'embryonic central nervous system')"
CG11494,1,"('maternal',)"
CG11494,2,"('ubiquitous', 'cellular blastoderm')"
CG11494,4,"('ubiquitous',)"
CG11494,5,"('ubiquitous', 'brain primordium', 'ventral nerve cord primordium', 'anterior midgut primordium', 'posterior midgut primordium')"
CG11494,6,"('ventral nerve cord', 'ubiquitous', 'embryonic central nervous system', 'embryonic brain', 'embryonic midgut')"
CG1150,6,"('embryonic ventral epidermis', 'embryonic dorsal epidermis')"
CG11500,5,"('ubiquitous',)"
CG11500,6,"('embryonic salivary gland', 'ubiquitous', 'embryonic salivary gland body')"
CG11504,1,"('maternal',)"
CG11504,4,"('ventral nerve cord primordium P3',)"
CG11504,5,"('brain primordium', 'ventral nerve cord primordium')"
CG11504,6,"('embryonic central nervous system', 'embryonic brain', 'embryonic central brain neuron', 'embryonic central brain glia', 'ventral nerve cord', 'lateral cord neuron')"
CG11508,1,"('maternal',)"
CG11508,2,"('subset', 'ubiquitous')"
CG11508,3,"('ventral ectoderm primordium P2', 'faint ubiquitous')"
CG11508,4,"('faint ubiquitous', 'ventral ectoderm primordium')"
CG11508,5,"('gnathal primordium', 'faint ubiquitous')"
CG1151,6,"('embryonic head epidermis', 'embryonic foregut', 'embryonic hypopharynx', 'atrium', 'embryonic dorsal epidermis', 'embryonic ventral epidermis')"
CG11513,1,"('maternal',)"
CG1152,6,"('embryonic head epidermis', 'embryonic salivary gland', 'embryonic salivary gland duct', 'embryonic salivary gland common duct', 'embryonic ventral epidermis', 'ventral sensory complex primordium', 'embryonic dorsal epidermis', 'ventral imaginal precursor', 'sensory nervous system primordium', 'embryonic/larval tracheal system', 'embryonic/larval posterior spiracle', 'embryonic epipharynx')"
CG11523,1,"('maternal',)"
CG11523,2,"('ubiquitous',)"
CG11523,6,"('embryonic/larval muscle system', 'embryonic/larval somatic muscle')"
CG11527,6,"('embryonic/larval fat body',)"
CG1153,6,"('embryonic hypopharynx', 'embryonic esophagus', 'embryonic ventral epidermis', 'embryonic dorsal epidermis')"
CG11537,1,"('maternal',)"
CG11537,6,"('embryonic proventriculus', 'embryonic salivary gland body', 'embryonic Malpighian tubule', 'embryonic midgut')"
CG1154,6,"('embryonic/larval posterior spiracle', 'embryonic salivary gland common duct', 'embryonic head epidermis', 'embryonic dorsal epidermis', 'atrium')"
CG11546,1,"('maternal',)"
CG11546,2,"('cellular blastoderm', 'ubiquitous')"
CG11546,3,"('ventral ectoderm primordium P2', 'faint ubiquitous', 'trunk mesoderm primordium P2', 'head mesoderm primordium P4')"
CG11546,4,"('head mesoderm primordium P2', 'faint ubiquitous')"
CG11546,5,"('posterior midgut primordium', 'plasmatocytes anlage')"
CG11546,6,"('embryonic anal pad', 'ventral midline', 'embryonic midgut')"
CG1155,6,"('embryonic head epidermis', 'head epidermis dorsal', 'embryonic esophagus', 'embryonic salivary gland duct', 'embryonic ventral epidermis', 'embryonic dorsal epidermis', 'embryonic large intestine', 'embryonic hypopharynx', 'embryonic proventriculus', 'embryonic proventriculus inner layer', 'embryonic proventriculus intermediate layer', 'embryonic anal pad')"
CG11551,1,"('maternal',)"
CG11551,2,"('procephalic ectoderm anlage in statu nascendi', 'ventral ectoderm anlage in statu nascendi', 'ventral ectoderm anlage', 'faint ubiquitous')"
CG11551,3,"('ventral ectoderm primordium P2', 'central brain anlage', 'faint ubiquitous')"
CG11551,4,"('ventral nerve cord primordium P3', 'central brain primordium P3')"
CG11551,5,"('brain primordium', 'ventral nerve cord primordium')"
CG11551,6,"('embryonic brain', 'ventral nerve cord')"
CG11555,1,"('maternal', 'ubiquitous')"
CG11555,2,"('cellular blastoderm', 'ubiquitous')"
CG11555,3,"('ubiquitous', 'trunk mesoderm primordium P2', 'head mesoderm primordium P4', 'anterior endoderm anlage', 'posterior endoderm primordium P2', 'pole cell')"
CG11555,4,"('ubiquitous', 'germ cell', 'trunk mesoderm primordium', 'head mesoderm primordium P2', 'anterior endoderm primordium', 'posterior endoderm primordium')"
CG11555,5,"('ubiquitous', 'anterior midgut primordium', 'posterior midgut primordium', 'trunk mesoderm primordium', 'faint ubiquitous', 'head mesoderm primordium')"
CG11555,6,"('embryonic/larval muscle system', 'embryonic/larval somatic muscle', 'embryonic/larval visceral muscle', 'embryonic midgut', 'faint ubiquitous', 'dorsal prothoracic pharyngeal muscle')"
CG11560,1,"('maternal',)"
CG11560,2,"('faint ubiquitous',)"
CG11560,5,"('brain primordium', 'ventral nerve cord primordium')"
CG11560,6,"('embryonic brain', 'ventral nerve cord')"
CG11561,1,"('pole plasm', 'maternal')"
CG11567,1,"('strong ubiquitous', 'maternal', 'flag_for_volker')"
CG11567,2,"('cellular blastoderm', 'ubiquitous', 'strong ubiquitous')"
CG11567,3,"('ubiquitous', 'faint ubiquitous')"
CG11567,4,"('faint ubiquitous', 'inclusive hindgut primordium', 'ubiquitous')"
CG11567,5,"('ubiquitous', 'faint ubiquitous', 'yolk nuclei', 'foregut primordium', 'hindgut proper primordium', 'anterior midgut primordium', 'posterior midgut primordium')"
CG11567,6,"('embryonic/larval oenocyte', 'amnioserosa', 'faint ubiquitous', 'embryonic dorsal epidermis', 'embryonic Malpighian tubule', 'embryonic hindgut', 'embryonic midgut')"
CG1157,6,"('embryonic/larval tracheal system', 'embryonic/larval posterior spiracle', 'embryonic/larval dorsal trunk', 'embryonic/larval dorsal branch', 'embryonic/larval visceral branch')"
CG11576,1,"('maternal',)"
CG11576,2,"('faint ubiquitous',)"
CG11576,5,"('posterior midgut primordium', 'procrystal cell', 'anterior midgut primordium', 'yolk nuclei')"
CG11576,6,"('embryonic midgut', 'crystal cell')"
CG11584,6,"('embryonic ventral epidermis', 'embryonic/larval tracheal system')"
CG11592,5,"('garland cell primordium', 'circular visceral mesoderm primordium')"
CG11592,6,"('circular visceral muscle fibers', 'embryonic/larval garland cell')"
CG11593,1,"('maternal', 'strong ubiquitous')"
CG11593,2,"('ubiquitous',)"
CG11593,3,"('ubiquitous',)"
CG11593,4,"('ubiquitous',)"
CG11593,5,"('brain primordium', 'ventral nerve cord primordium', 'ubiquitous')"
CG11593,6,"('embryonic brain', 'ventral nerve cord', 'faint ubiquitous')"
CG11596,1,"('maternal',)"
CG11596,2,"('ubiquitous',)"
CG11596,3,"('ubiquitous',)"
CG11596,4,"('ubiquitous',)"
CG11596,5,"('ubiquitous',)"
CG11596,6,"('ubiquitous',)"
CG11607,5,"('visceral muscle primordium', 'visceral muscle primordium', 'dorsal epidermis primordium', 'circular visceral mesoderm primordium')"
CG11607,6,"('embryonic ventral epidermis', 'embryonic/larval visceral muscle', 'embryonic dorsal epidermis', 'embryonic dorsal epidermis', 'embryonic/larval muscle system', 'embryonic/larval visceral muscle', 'embryonic ventral epidermis')"
CG11614,2,"('ectoderm anlage in statu nascendi', 'strong ubiquitous')"
CG11614,3,"('strong ubiquitous',)"
CG11614,4,"('strong ubiquitous',)"
CG11614,5,"('ventral epidermis primordium', 'dorsal epidermis primordium', 'head epidermis primordium P1')"
CG11614,6,"('embryonic head epidermis', 'embryonic ventral epidermis', 'embryonic dorsal epidermis')"
CG11617,6,"('embryonic/larval muscle system', 'embryonic/larval somatic muscle')"
CG11628,1,"('maternal',)"
CG11628,2,"('subset', 'anlage in statu nascendi', 'ubiquitous', 'gap', 'mesoderm anlage in statu nascendi')"
